y_act,vf,vsa,gsa,pld,lcd,TInf
128.2983654,0.85,2110,4856,11.4,14.1,0.477008929
45.33650314,0.33,141,142,3.8,5.2,0.943223443
12.80396273,0.95,841,6688,21.4,38.4,0.177280784
13.59822204,0.96,805,7743,21.8,41.3,0.165689177
142.2337338,0.92,1157,6180,16.5,30.9,0.277101894
145.5374073,0.94,1118,6945,16.9,32.1,0.246847208
8.154071906,0.97,692,8078,25.1,44.2,0.147367771
124.7739746,0.82,945,2269,21.6,25.7,0.341158871
10.77478767,0.94,689,3842,36.6,40.8,0.162074707
11.70471446,0.94,536,3634,39.9,46,0.149052612
9.170291942,0.95,627,4857,41.1,47,0.143668687
13.56274879,0.96,564,5220,43.8,48.8,0.124717067
123.6729382,0.81,1052,2315,19.3,23.7,0.369246147
34.40353867,0.89,782,2607,27.7,32.4,0.26111516
19.673473,0.96,607,5231,42.2,48.3,0.133185547
13.63137808,0.96,585,5531,43.3,48.6,0.121629706
21.53004211,0.96,475,4305,48.1,56.3,0.119134812
15.86661324,0.97,497,5253,49.2,56.1,0.110088162
15.2339262,0.96,579,5603,43.4,48.3,0.11844884
15.35042662,0.96,513,5257,47.5,52.4,0.113154434
9.270878005,0.97,479,5054,49.3,54.1,0.098927029
15.48049856,0.95,606,4610,41.6,45.8,0.142247953
31.92068203,0.9,860,2845,25,31.2,0.261672998
16.34267257,0.976914,390.803511,5908.628831,58.33743,65.37503,0.082065969
35.10237942,0.91,792,3170,29,34.6,0.229687335
17.23386947,0.93,747,3606,34.1,37.8,0.186576843
21.65911945,0.94,727,4143,35.3,39.7,0.17527896
14.43499276,0.96,592,4741,42.2,46.6,0.136233896
85.37642091,0.95,951,7062,45.9,49.3,0.187548295
81.63970155,0.95,919,6617,45.1,49.5,0.181908867
133.456624,0.88,1353,3766,29.2,30.5,0.373230373
89.91403802,0.88,1271,3540,33.2,34.9,0.344301146
74.25099953,0.93,1009,5219,46.1,47.7,0.224903241
68.21643101,0.94,913,5381,51,52.6,0.192803437
126.6081362,0.83,1167,2253,29.7,30.8,0.423172001
121.3018784,0.81,1835,3404,13.1,14.9,0.48170194
139.7452963,0.91,1548,5993,18.2,20.8,0.322952381
139.8978938,0.92,1346,5538,23.9,25.6,0.298788259
142.16997,0.93,1305,5959,21.3,22.6,0.262913768
144.039321,0.93,1167,6257,25.1,26.7,0.237007168
133.0093272,0.88,1419,3981,28.3,29.4,0.381802721
39.55118036,0.96,819,7195,34,37,0.159487842
7.896498519,0.97,622,8020,41,44.6,0.115083459
69.06744344,0.91,1110,5662,42.7,44,0.259720747
87.34051265,0.95,920,6201,35.9,38.2,0.193645833
35.61045573,0.95,918,6568,37.8,39.1,0.176397569
