y_act,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T2,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T3,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T4,T40,T41,T42,T43,T44,T45,T46,T47,T5,T6,T7,T8,T9,TInf,vf,vsa,gsa,pld,lcd
128.2983654,0.009375,0.013950893,0.012946429,0.012611607,0.015401786,0.019977679,0.016629464,0.020982143,0.018303571,0.019866071,0.009486607,0.014285714,0.009598214,0.010602679,0.011272321,0.010714286,0.010602679,0.012276786,0.010267857,0.008035714,0.008370536,0.006808036,0.009933036,0.008816964,0.008705357,0.01015625,0.010825893,0.01484375,0.011383929,0.009263393,0.013169643,0.021540179,0.014174107,0.012388393,0.010044643,0.0015625,3.35E-04,5.58E-04,2.23E-04,2.23E-04,3.35E-04,8.93E-04,0.017745536,0.017299107,0.016852679,0.016964286,0.012388393,0.477008929,0.85,2110,4856,11.4,14.1
45.33650314,0.049107143,1.14E-04,0,0,3.43E-04,4.58E-04,2.29E-04,0,1.14E-04,3.43E-04,1.14E-04,9.16E-04,0,0,0,1.14E-04,0,1.14E-04,1.14E-04,1.14E-04,0,1.14E-04,5.72E-04,0,0,0,1.14E-04,1.14E-04,1.14E-04,0,1.14E-04,3.43E-04,1.14E-04,5.72E-04,2.29E-04,2.29E-04,1.14E-04,3.43E-04,0,0,1.14E-04,0,3.43E-04,3.43E-04,1.14E-04,3.43E-04,2.29E-04,0.943223443,0.33,141,142,3.8,5.2
12.80396273,4.07E-04,0.004610482,0.005017289,0.005520955,0.005879333,0.006615461,0.007380646,0.008639811,0.009201592,0.009424368,0.004862315,0.001927491,0.004988232,0.004465194,0.005036661,0.004988232,0.004687969,0.00546284,0.005191635,0.005666244,0.005937449,0.006460486,0.00223744,0.00699321,0.006915723,0.007971485,0.007971485,0.00890133,0.009695573,0.010731962,0.012436679,0.014170452,0.014877522,0.002905766,0.018316012,0.0208634,0.024398749,0.028660539,0.037397209,0.050986508,0.078998092,0.313406236,0.003283516,0.003448176,0.004455508,0.005704987,0.004620168,0.177280784,0.95,841,6688,21.4,38.4
13.59822204,4.90E-04,0.004717854,0.005078631,0.005319149,0.00599445,0.006290472,0.006965772,0.007752081,0.008251619,0.008279371,0.004828862,0.001896392,0.004967623,0.004421832,0.004190564,0.004283071,0.004875116,0.004995375,0.005513414,0.005356152,0.005624422,0.006105458,0.002229417,0.006503238,0.006503238,0.00786309,0.007446809,0.008344126,0.009574468,0.010212766,0.011674376,0.013246994,0.014431082,0.00307123,0.017317299,0.020693802,0.024995375,0.028233117,0.036993525,0.050703053,0.078825162,0.337983349,0.003496762,0.003635523,0.004153562,0.005790934,0.004190564,0.165689177,0.96,805,7743,21.8,41.3
142.2337338,0.006775474,0.007599012,0.007580295,0.008927903,0.008609718,0.009246088,0.008927903,0.01016321,0.009863742,0.010481396,0.005652467,0.009451973,0.004697911,0.005334282,0.004978663,0.005671184,0.006082953,0.006270121,0.006270121,0.007299543,0.007617729,0.007561578,0.008048214,0.007524145,0.008123082,0.009358389,0.008516134,0.010331661,0.010481396,0.012689975,0.014673954,0.014842405,0.016489481,0.008497417,0.018192708,0.023377255,0.026147338,0.031968256,0.038331961,0.052126226,0.058864266,0.140787602,0.008010781,0.007280827,0.007524145,0.009657857,0.005989369,0.277101894,0.92,1157,6180,16.5,30.9
145.5374073,0.004064003,0.006487826,0.007544832,0.007945765,0.008729407,0.009330806,0.010078,0.009968654,0.010570054,0.008984546,0.005066336,0.008474267,0.004993439,0.005285027,0.005066336,0.005303251,0.005248579,0.006196239,0.007162123,0.007982213,0.006724741,0.007799971,0.007362589,0.007344365,0.007417262,0.008456043,0.008437819,0.010697624,0.011226126,0.01184575,0.014160227,0.014360694,0.016529377,0.008346698,0.018989649,0.022488701,0.025933081,0.033405015,0.040020411,0.053943724,0.071639452,0.162851728,0.00852894,0.007727074,0.007854644,0.008601837,0.005977548,0.246847208,0.94,1118,6945,16.9,32.1
8.154071906,2.88E-04,0.004119295,0.004407645,0.004922557,0.005416873,0.005595375,0.006309386,0.006721316,0.00705086,0.007407865,0.003721096,0.001379964,0.004229143,0.004236008,0.003872137,0.004297798,0.004654803,0.004290932,0.004551821,0.004778382,0.004805844,0.005053002,0.001592794,0.005780744,0.006027901,0.006659527,0.006886088,0.007524578,0.008121876,0.008767232,0.01041495,0.011774318,0.013010106,0.002416653,0.014946175,0.018296534,0.020610205,0.024969792,0.032309002,0.046019388,0.073433295,0.413254517,0.002924699,0.002917834,0.003858406,0.00433899,0.003666172,0.147367771,0.97,692,8078,25.1,44.2
124.7739746,0.005244413,0.004377428,0.005320912,0.00664689,0.007692373,0.008329863,0.00849986,0.008312863,0.009154349,0.009171349,0.004666423,0.004997918,0.004683423,0.005040417,0.00483642,0.005108416,0.00486192,0.005006417,0.005193414,0.005762905,0.006170898,0.006502393,0.003960935,0.006748889,0.006825387,0.007743372,0.008074867,0.008253364,0.00906935,0.010607825,0.011891304,0.012333297,0.014347763,0.004181931,0.015418746,0.019277682,0.022643626,0.026324066,0.035452915,0.046273236,0.068398371,0.163877296,0.004453927,0.003731438,0.004071433,0.005006417,0.004292429,0.341158871,0.82,945,2269,21.6,25.7
10.77478767,9.28E-04,0.004142961,0.00396945,0.004843094,0.005987659,0.00459957,0.006444268,0.005750223,0.005461038,0.007290516,0.003591987,0.001217623,0.00269399,0.003260185,0.003604163,0.003951186,0.004228195,0.004520424,0.004553909,0.004282988,0.004319516,0.003424564,0.001707716,0.003546326,0.004085124,0.005080531,0.004231239,0.006152038,0.006608647,0.007250943,0.00711396,0.007652758,0.008441169,0.00280662,0.01287636,0.010897723,0.015679936,0.019207997,0.025022146,0.035113193,0.063867352,0.481100974,0.003013616,0.002611801,0.00385682,0.003321066,0.003613295,0.162074707,0.94,689,3842,36.6,40.8
11.70471446,0.003030716,0.002457476,0.002105306,0.002107877,0.003128398,0.003408591,0.003881578,0.003930419,0.004483095,0.004781282,0.002552588,0.001920225,0.003246645,0.003087269,0.002817358,0.003074416,0.002532023,0.002925322,0.003172098,0.003724773,0.004017819,0.003832737,0.001403538,0.003657938,0.003963837,0.004326289,0.004339142,0.004385412,0.00503577,0.006632101,0.007123082,0.0071128,0.006758059,0.001439526,0.009763069,0.012128005,0.012426192,0.017048098,0.021708563,0.032163119,0.053123642,0.552199518,0.002603999,0.001660596,0.002848205,0.004087225,0.002791652,0.149052612,0.94,536,3634,39.9,46
9.170291942,0.002146961,0.003106924,0.003195763,0.003452412,0.003491896,0.00411871,0.004402503,0.004908396,0.005419225,0.005616647,0.002788581,0.002262946,0.002835469,0.002914437,0.002993406,0.003151343,0.00318836,0.003341362,0.003208102,0.00323278,0.003309281,0.003578268,0.002332044,0.003723866,0.00389661,0.0040965,0.004624603,0.00476033,0.005429096,0.005700551,0.006334768,0.007225633,0.008077014,0.00284534,0.008997493,0.011339407,0.01331856,0.016830198,0.022002645,0.032584447,0.055574201,0.5447703,0.002736758,0.00264545,0.003062504,0.003546187,0.003213038,0.143668687,0.95,627,4857,41.1,47
13.56274879,0.001086389,0.003166669,0.003485875,0.003953802,0.004499717,0.00463937,0.005219744,0.005480913,0.005762032,0.005783796,0.00317211,0.001080948,0.003159414,0.00304878,0.002910942,0.003126768,0.003059663,0.003075986,0.003072358,0.003420583,0.003427838,0.003630969,0.001639558,0.003743416,0.003776062,0.004037231,0.004336487,0.00491142,0.00491142,0.00525239,0.005714876,0.006561861,0.00770266,0.0026135,0.008511557,0.009815586,0.012423644,0.015160474,0.020485411,0.029345192,0.050040989,0.579192119,0.002604431,0.002502866,0.003456856,0.004233107,0.003045153,0.124717067,0.96,564,5220,43.8,48.8
123.6729382,0.008879633,0.005114536,0.005414411,0.005989171,0.006597251,0.006988755,0.007796751,0.00847147,0.008946272,0.008654727,0.004806331,0.006447314,0.004914619,0.00546439,0.005572678,0.005830904,0.005789254,0.005839234,0.006305706,0.006413994,0.006413994,0.006755519,0.005097876,0.007213661,0.007763432,0.008238234,0.008163265,0.00910454,0.009645981,0.010570596,0.01211162,0.012961266,0.014335693,0.005730945,0.016609746,0.01940858,0.022040816,0.027355269,0.033486047,0.044739692,0.065581008,0.120791337,0.005556018,0.00485631,0.00486464,0.006530612,0.004589754,0.369246147,0.81,1052,2315,19.3,23.7
34.40353867,0.00777264,0.004390261,0.004629419,0.005096347,0.005381059,0.005768267,0.006508519,0.006616709,0.006952669,0.007237382,0.003832225,0.004230822,0.003911944,0.003940415,0.004099854,0.003951804,0.004065689,0.00428207,0.004128325,0.004356095,0.004834411,0.005318422,0.004327624,0.005420918,0.005950483,0.006548378,0.007066554,0.006798925,0.007681532,0.008774827,0.009759931,0.010699481,0.011980685,0.00551772,0.013990753,0.016456359,0.019337646,0.024627597,0.031608737,0.043560951,0.068222713,0.295673515,0.005084958,0.004475674,0.004811634,0.005289951,0.003911944,0.26111516,0.89,782,2607,27.7,32.4
19.673473,0.001105469,0.002910156,0.003076172,0.003384766,0.003423828,0.003976563,0.004460938,0.004724609,0.005353516,0.005796875,0.003181641,8.95E-04,0.003261719,0.003433594,0.003265625,0.003525391,0.003589844,0.003556641,0.003585938,0.00375,0.003595703,0.00378125,0.0018125,0.004033203,0.004154297,0.004189453,0.004710938,0.005199219,0.005097656,0.005699219,0.006041016,0.006710938,0.007884766,0.00328125,0.008925781,0.010318359,0.012457031,0.015894531,0.020720703,0.030341797,0.051761719,0.563058594,0.003703125,0.002912109,0.003341797,0.004017578,0.002912109,0.133185547,0.96,607,5231,42.2,48.3
13.63137808,8.42E-04,0.003513184,0.00361797,0.003532236,0.003848499,0.003959,0.004301936,0.004707743,0.005142128,0.005576513,0.003120713,9.98E-04,0.003337906,0.003341716,0.003597013,0.003610349,0.003867551,0.00405045,0.00380849,0.003945664,0.003686557,0.003974242,8.94E-04,0.003905655,0.00419715,0.004707743,0.004770614,0.005155464,0.005277397,0.00569654,0.006431946,0.006984454,0.007516004,0.001192654,0.008729614,0.010141366,0.012118961,0.01583219,0.020288447,0.029644871,0.052053803,0.577034751,0.002290047,0.002743484,0.003215973,0.003848499,0.003318854,0.121629706,0.96,585,5531,43.3,48.6
21.53004211,0.00261962,0.002921085,0.00308741,0.003197303,0.003528468,0.0037438,0.00422644,0.004322968,0.004505628,0.004703139,0.002417654,0.002895839,0.002426564,0.002478541,0.002390923,0.002484481,0.00261962,0.00260774,0.002736939,0.002915144,0.003013158,0.003139386,0.003694793,0.003363628,0.003362143,0.003639847,0.00390864,0.004331878,0.004628887,0.004949657,0.005423386,0.006048591,0.006892097,0.004110606,0.007878167,0.009217678,0.011160118,0.014035166,0.018609106,0.026891206,0.04528201,0.608282099,0.003535894,0.002956726,0.003280466,0.003736375,0.002664172,0.119134812,0.96,475,4305,48.1,56.3
15.86661324,0.00128105,0.003134391,0.003614235,0.003932663,0.004075002,0.004261364,0.004353811,0.004783762,0.004843926,0.005394205,0.002656015,0.00124143,0.002644276,0.002720581,0.00286292,0.002614928,0.002843844,0.002893736,0.003011129,0.003068358,0.003141728,0.003303144,0.00170073,0.003573148,0.003746302,0.003799129,0.004072068,0.004381691,0.004560716,0.005263606,0.005545349,0.0061059,0.006648843,0.002632537,0.007761141,0.009055398,0.011011458,0.013921335,0.018256069,0.026944614,0.045849279,0.616738472,0.002983248,0.002774876,0.003229773,0.003692008,0.00298765,0.110088162,0.97,497,5253,49.2,56.1
15.2339262,2.77E-04,0.00352097,0.003965274,0.004210663,0.004621505,0.004528554,0.00464939,0.004922665,0.005528703,0.00562909,0.002853584,0.001403554,0.002887046,0.003210515,0.003266285,0.003349941,0.003383403,0.003454045,0.003476353,0.00369014,0.003496802,0.003889054,0.001717728,0.003716166,0.003959697,0.004338935,0.004502528,0.00470702,0.00502677,0.005677424,0.005868902,0.006467504,0.007540155,0.002474346,0.008722487,0.010083284,0.012451666,0.015301532,0.020486318,0.029985872,0.051559711,0.580976725,0.002909355,0.002637939,0.003173334,0.003920657,0.003130577,0.11844884,0.96,579,5603,43.4,48.3
15.35042662,8.21E-04,0.003103268,0.003266914,0.003732329,0.003886967,0.004314849,0.00451753,0.004858334,0.00521265,0.005440853,0.002897585,0.001376728,0.002796995,0.002920105,0.002866057,0.003035708,0.003092759,0.003353992,0.003089756,0.003343482,0.00345308,0.00354316,0.001740052,0.003753348,0.003904983,0.004305841,0.004239782,0.004534044,0.004957422,0.005206644,0.005922783,0.006383694,0.00702927,0.002313564,0.007996133,0.009372861,0.011387658,0.014258218,0.018819287,0.027521049,0.046970898,0.60651401,0.002621338,0.002445682,0.003356994,0.003673777,0.002691901,0.113154434,0.96,513,5257,47.5,52.4
9.270878005,3.54E-04,0.002201118,0.002447643,0.003015531,0.00378152,0.00407647,0.004281907,0.004789632,0.005265073,0.005882854,0.003068358,2.47E-04,0.003156403,0.003091836,0.003015531,0.003138794,0.003223904,0.003460157,0.003289937,0.003593691,0.003510049,0.003871032,3.10E-04,0.004019241,0.004350876,0.004424246,0.004959852,0.005056701,0.005565893,0.00593568,0.005991442,0.00673542,0.007410429,6.25E-04,0.008581424,0.009593938,0.010923413,0.013980031,0.018307429,0.026866841,0.047004132,0.629795502,0.001124037,0.0012473,0.00153638,0.002108671,0.001857743,0.098927029,0.97,479,5054,49.3,54.1
15.48049856,0.001328655,0.003892398,0.004175439,0.004678363,0.005031579,0.005146199,0.005288889,0.005235088,0.00568655,0.006060819,0.003111111,0.001847953,0.002959064,0.003031579,0.002991813,0.003267836,0.003221053,0.003115789,0.003330994,0.00342924,0.003651462,0.003691228,0.002821053,0.00394386,0.004173099,0.00434386,0.00431345,0.00500117,0.005452632,0.005688889,0.006540351,0.007274854,0.008325146,0.003412865,0.00914152,0.011443275,0.013214035,0.017026901,0.022516959,0.032900585,0.055122807,0.531059649,0.003265497,0.003237427,0.004175439,0.005447953,0.003735673,0.142247953,0.95,606,4610,41.6,45.8
31.92068203,0.008164504,0.00425372,0.004550491,0.004768123,0.005038514,0.005150628,0.005374855,0.006403661,0.007016988,0.007913897,0.004444972,0.002354384,0.004161391,0.004405403,0.004708769,0.00456368,0.004867047,0.00497916,0.004840667,0.00497916,0.005091274,0.005493563,0.003455735,0.005876068,0.006304738,0.006720217,0.007168672,0.007861137,0.00885697,0.009035032,0.009912156,0.01112562,0.013170043,0.00539464,0.014805582,0.016948929,0.020747599,0.025594861,0.033271341,0.046447979,0.074159808,0.269857286,0.006337712,0.005566107,0.005869473,0.006047536,0.004266909,0.261672998,0.9,860,2845,25,31.2
16.34267257,7.15E-04,0.00211573,0.002275555,0.00250622,0.002859562,0.00314811,0.003357177,0.003624991,0.003859977,0.003923906,0.002031066,0.001030652,0.002059576,0.002092404,0.002333437,0.002348124,0.002360218,0.002469936,0.002667772,0.002695418,0.002810319,0.002997788,0.001599972,0.003158477,0.003275105,0.003619808,0.003868616,0.00411656,0.004470765,0.004886309,0.005345912,0.005912641,0.006359285,0.00222372,0.007151496,0.008163142,0.009855553,0.011925496,0.015267987,0.021927915,0.037335856,0.690320686,0.002214217,0.001843597,0.002235814,0.002607298,0.001964545,0.082065969,0.976914,390.803511,5908.628831,58.33743,65.37503
35.10237942,0.010594202,0.003588293,0.003714269,0.003937776,0.00433196,0.00501467,0.005482002,0.005965588,0.006067182,0.006538577,0.003437934,0.006571087,0.003242874,0.003470444,0.003738652,0.004010923,0.004096262,0.004303514,0.004673315,0.004685506,0.004843993,0.005030925,0.004937459,0.005238177,0.005453555,0.005949333,0.006156584,0.006668617,0.00757077,0.007867424,0.008757386,0.010045595,0.010996513,0.005059371,0.012829266,0.014836759,0.017839872,0.022106812,0.028519413,0.040109234,0.063532701,0.358914653,0.00442949,0.003580166,0.003998732,0.004352279,0.003222555,0.229687335,0.91,792,3170,29,34.6
17.23386947,0.003288269,0.003803253,0.004360199,0.005542755,0.005565643,0.005172729,0.005226135,0.005409241,0.006164551,0.006484985,0.003406525,0.006389618,0.003425598,0.003566742,0.003650665,0.003231049,0.003673553,0.003997803,0.004405975,0.003955841,0.004112244,0.004261017,0.003471375,0.004528046,0.004829407,0.005001068,0.005916595,0.006088257,0.006816864,0.007713318,0.007701874,0.008663177,0.010246277,0.003509521,0.01234436,0.013145447,0.016712189,0.020683289,0.027606964,0.039302826,0.066326141,0.42206192,0.004043579,0.004219055,0.004199982,0.005401611,0.003795624,0.186576843,0.93,747,3606,34.1,37.8
21.65911945,0.004048752,0.004024404,0.004570498,0.004535715,0.004681804,0.004987895,0.00477224,0.004942677,0.005683557,0.006107911,0.003252219,0.006434872,0.003513092,0.003481788,0.003067869,0.003321785,0.003321785,0.003440048,0.003773966,0.003707878,0.004100927,0.004306147,0.003287002,0.004511367,0.004615716,0.005064418,0.005339205,0.005906169,0.006226174,0.007033141,0.007749673,0.008316637,0.009878398,0.00368353,0.011488855,0.012904527,0.016292401,0.019746362,0.027109942,0.037826613,0.063847845,0.447401007,0.003982664,0.004167014,0.00475137,0.005467902,0.004045274,0.17527896,0.94,727,4143,35.3,39.7
14.43499276,0.001213073,0.003732199,0.003740848,0.004264134,0.004471719,0.005183129,0.005782097,0.005853454,0.006078337,0.005911837,0.003319192,0.001239021,0.003087821,0.003191614,0.00341001,0.003498666,0.003505153,0.003282432,0.003401361,0.003479205,0.00377977,0.004175478,0.001846638,0.004357115,0.004212238,0.004203589,0.005135557,0.004919323,0.005187453,0.005511804,0.006307545,0.007111936,0.008417989,0.00292997,0.009442938,0.010405179,0.012770779,0.017731187,0.021136872,0.031948571,0.054162288,0.542435919,0.003051061,0.002765633,0.003401361,0.005079336,0.003693276,0.136233896,0.96,592,4741,42.2,46.6
85.37642091,0.002547571,0.005813532,0.005777311,0.006308558,0.006821694,0.007594417,0.007823819,0.009157974,0.0091459,0.009296822,0.004588042,0.005704868,0.004763112,0.00498044,0.005336617,0.005523761,0.005777311,0.005559983,0.005686757,0.005873901,0.006586255,0.006489665,0.005421134,0.006990727,0.007932483,0.008143775,0.009206269,0.009628852,0.010329132,0.011295035,0.012327345,0.014494591,0.016366029,0.005735053,0.018581571,0.020881629,0.024606394,0.030226746,0.036112721,0.04166063,0.053734425,0.303342026,0.006018787,0.005215879,0.005674684,0.006664735,0.004702743,0.187548295,0.95,951,7062,45.9,49.3
81.63970155,0.002469212,0.004876847,0.005738916,0.006096059,0.006810345,0.007204433,0.007770936,0.008916256,0.009211823,0.009224138,0.004938424,0.004064039,0.004913793,0.004975369,0.005203202,0.005357143,0.005240148,0.00533867,0.005769704,0.006034483,0.00614532,0.00648399,0.004359606,0.006816502,0.007770936,0.007887931,0.008583744,0.009692118,0.010024631,0.010972906,0.012062808,0.013608374,0.015683498,0.004969212,0.017635468,0.020357143,0.024187192,0.029033251,0.037764778,0.04533867,0.056490148,0.315258621,0.005178571,0.004618227,0.005689655,0.006631773,0.004692118,0.181908867,0.95,919,6617,45.1,49.5
