MOF,Temp,Pres,Loading
 EQOCES01_clean,298 ,11000 ,  62.2773120183 
 EQOCES01_clean,298 ,12000 ,  62.3107342500 
 EQOCES01_clean,298 ,15000 ,  62.3043554543 
 EQOCES01_clean,298 ,10 ,   1.5371568726 
 EQOCES01_clean,298 ,100 ,  29.5012324416 
 EQOCES01_clean,298 ,1000 ,  61.2346447042 
 EQOCES01_clean,298 ,10000 ,  62.3039567795 
 EQOCES01_clean,298 ,20000 ,  62.3491066928 
 EQOCES01_clean,298 ,5000 ,  62.1496364356 
 EQOCES01_clean,298 ,8000 ,  62.2713318973 
 EQOCES01_clean,298 ,9000 ,  62.2164476760 
