MOF,Temp,Pres,Loading
 KEGZOL04_clean,298 ,11000 ,  93.2046643884 
 KEGZOL04_clean,298 ,12000 ,  93.6982543819 
 KEGZOL04_clean,298 ,15000 ,  93.5987241316 
 KEGZOL04_clean,298 ,10 ,   1.1822086589 
 KEGZOL04_clean,298 ,100 ,  85.4405985598 
 KEGZOL04_clean,298 ,1000 ,  92.4415598970 
 KEGZOL04_clean,298 ,10000 ,  92.9831786806 
 KEGZOL04_clean,298 ,20000 ,  93.7810393003 
 KEGZOL04_clean,298 ,5000 ,  93.3315345566 
 KEGZOL04_clean,298 ,8000 ,  93.6471649335 
 KEGZOL04_clean,298 ,9000 ,  93.7073480683 
