MOF,Temp,Pres,Loading
 MEXDAU01_clean,298 ,11000 ,  70.1165486062 
 MEXDAU01_clean,298 ,12000 ,  68.9573364648 
 MEXDAU01_clean,298 ,15000 ,  70.6542367605 
 MEXDAU01_clean,298 ,10 ,   0.0535857900 
 MEXDAU01_clean,298 ,100 ,   0.5425179931 
 MEXDAU01_clean,298 ,1000 ,   5.8279376426 
 MEXDAU01_clean,298 ,10000 ,  69.7989485778 
 MEXDAU01_clean,298 ,20000 ,  69.7561409543 
 MEXDAU01_clean,298 ,5000 ,  68.7452811233 
 MEXDAU01_clean,298 ,8000 ,  69.8259956748 
 MEXDAU01_clean,298 ,9000 ,  68.5719661726 
