MOF,Temp,Pres,Loading
 QUPZIM02_clean,298 ,11000 ,  95.6344904939 
 QUPZIM02_clean,298 ,12000 ,  94.4005266285 
 QUPZIM02_clean,298 ,15000 ,  91.8716482690 
 QUPZIM02_clean,298 ,10 ,  80.4043089683 
 QUPZIM02_clean,298 ,100 ,  85.7821318473 
 QUPZIM02_clean,298 ,1000 ,  91.7738619982 
 QUPZIM02_clean,298 ,10000 ,  94.1869884220 
 QUPZIM02_clean,298 ,20000 ,  96.7223175404 
 QUPZIM02_clean,298 ,5000 ,  93.8962219708 
 QUPZIM02_clean,298 ,8000 ,  92.4361198183 
 QUPZIM02_clean,298 ,9000 ,  95.6130281558 
