MOF,Temp,Pres,Loading
 WEYQAU09_clean,298 ,11000 ,  85.9676937684 
 WEYQAU09_clean,298 ,12000 ,  83.6630885712 
 WEYQAU09_clean,298 ,15000 ,  85.0158091311 
 WEYQAU09_clean,298 ,10 ,  51.2573298738 
 WEYQAU09_clean,298 ,100 ,  72.2631256571 
 WEYQAU09_clean,298 ,1000 ,  81.6173286077 
 WEYQAU09_clean,298 ,10000 ,  80.9953684476 
 WEYQAU09_clean,298 ,20000 ,  83.6012717788 
 WEYQAU09_clean,298 ,5000 ,  82.6558305856 
 WEYQAU09_clean,298 ,8000 ,  83.3142029173 
 WEYQAU09_clean,298 ,9000 ,  83.8741113677 
