MOF,Temp,Pres,Loading
 ZAXQUM_charged,298 ,11000 ,   4.7239321736 
 ZAXQUM_charged,298 ,12000 ,   8.5590804854 
 ZAXQUM_charged,298 ,15000 ,   4.7175393516 
 ZAXQUM_charged,298 ,10 ,   0.0063928219 
 ZAXQUM_charged,298 ,100 ,   0.0573901059 
 ZAXQUM_charged,298 ,1000 ,   0.6334342133 
 ZAXQUM_charged,298 ,10000 ,   5.7562639458 
 ZAXQUM_charged,298 ,20000 ,   8.2736555156 
 ZAXQUM_charged,298 ,5000 ,   2.2063953123 
 ZAXQUM_charged,298 ,8000 ,   2.9749505345 
 ZAXQUM_charged,298 ,9000 ,   4.8503356980 
