MOF,Temp,Pres,Loading
 ZEHCAQ02_clean,298 ,11000 ,  69.6717399222 
 ZEHCAQ02_clean,298 ,12000 ,  69.8468971976 
 ZEHCAQ02_clean,298 ,15000 ,  69.9283111190 
 ZEHCAQ02_clean,298 ,10 ,   0.4567178854 
 ZEHCAQ02_clean,298 ,100 ,   4.4287454387 
 ZEHCAQ02_clean,298 ,1000 ,  68.5121782647 
 ZEHCAQ02_clean,298 ,10000 ,  69.7065796596 
 ZEHCAQ02_clean,298 ,20000 ,  69.9310546657 
 ZEHCAQ02_clean,298 ,5000 ,  69.6665172671 
 ZEHCAQ02_clean,298 ,8000 ,  69.5407438319 
 ZEHCAQ02_clean,298 ,9000 ,  69.8372121473 
